Index,Variant,"Major area, region, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
141.0,Estimates,Republic of Moldova,13.0,498.0,7.254,9.998,6.366,4.297,3.004,-1.346,-0.447,-3.941,-6.065,-7.743,-0.578,-2.325,-0.467
142.0,Estimates,Romania,,642.0,-0.024,-0.022,-0.021,-0.02,-0.019,-0.903,-1.75,-1.717,-4.478,-5.411,-4.506,-8.386,-4.393
143.0,Estimates,Russian Federation,,643.0,0.061,-2.099,-2.264,-0.858,-0.44,0.941,1.576,1.248,3.407,3.133,2.393,3.009,1.56
144.0,Estimates,Slovakia,,703.0,3.613,0.905,-1.241,-2.596,-0.658,-0.398,-1.371,-1.354,-0.568,-0.11,0.045,0.356,0.044
145.0,Estimates,Ukraine,14.0,804.0,0.227,-1.573,2.066,1.159,0.876,0.423,0.75,0.0,0.291,-1.857,-0.693,1.018,0.862
146.0,Estimates,Northern Europe,15.0,924.0,-1.285,-0.241,0.471,0.178,0.85,0.673,0.129,0.69,0.346,1.4,2.692,4.266,2.42
147.0,Estimates,Channel Islands,16.0,830.0,4.207,4.187,5.23,6.571,6.866,2.711,8.213,8.868,2.978,5.162,6.062,5.708,4.521
148.0,Estimates,Denmark,,208.0,-0.84,-1.447,0.097,0.903,0.931,0.586,0.364,1.281,2.524,2.822,1.722,3.209,3.452
149.0,Estimates,Estonia,,233.0,6.548,4.528,6.896,6.218,4.396,4.213,3.457,2.008,-14.925,-0.169,-2.673,-2.255,-1.792
150.0,Estimates,Finland,17.0,246.0,-1.579,-1.281,-2.89,-4.271,1.24,-1.238,1.082,0.739,1.871,0.862,1.226,2.681,3.952
151.0,Estimates,Iceland,,352.0,-0.55,0.388,-0.796,-2.78,-1.005,-3.523,0.221,0.521,-0.807,1.454,2.695,5.232,-0.234
152.0,Estimates,Ireland,,372.0,-10.067,-14.51,-7.733,-3.505,2.437,3.21,-2.903,-6.468,-0.591,4.456,9.941,8.985,-6.018
153.0,Estimates,Latvia,,428.0,2.804,5.949,6.944,6.007,4.534,3.321,3.131,3.203,-10.53,-3.214,-7.192,-7.982,-7.234
154.0,Estimates,Lithuania,,440.0,-4.658,-1.815,1.723,1.724,2.348,2.306,2.505,2.031,-5.477,-6.25,-4.904,-8.763,-11.3
155.0,Estimates,Norway,18.0,578.0,-0.237,-0.538,-0.124,0.73,1.486,1.025,1.205,1.846,2.181,2.656,2.957,7.314,9.331
156.0,Estimates,Sweden,,752.0,1.459,1.283,2.112,3.318,0.463,2.147,0.715,3.183,3.6,1.321,3.167,5.702,5.691
157.0,Estimates,United Kingdom,,826.0,-1.407,0.27,0.535,-0.309,0.381,0.139,-0.346,0.348,0.714,1.709,3.253,4.959,2.825
158.0,Estimates,Southern Europe,19.0,925.0,-1.689,-2.669,-2.226,-2.353,0.109,1.08,0.41,-0.296,-0.321,0.687,5.89,4.24,-0.739
159.0,Estimates,Albania,,8.0,-0.015,-0.013,-0.011,-0.01,-0.009,-0.008,-0.007,-0.006,-27.752,-11.534,-11.309,-16.907,-6.329
160.0,Estimates,Bosnia and Herzegovina,,70.0,-3.576,-3.254,-2.968,-5.502,-3.887,-3.696,-1.409,-2.535,-35.61,-8.343,1.826,0.192,-0.131
161.0,Estimates,Croatia,,191.0,-0.001,-0.001,0.087,-0.056,-0.825,0.821,2.335,1.102,-6.114,-8.32,-0.117,-1.037,-0.935
162.0,Estimates,Greece,,300.0,0.48,-0.344,-3.449,-2.29,0.242,7.082,2.336,3.171,8.947,5.509,2.063,1.441,-2.463
163.0,Estimates,Italy,,380.0,-0.858,-2.282,-0.914,-0.881,0.071,0.591,0.941,-0.035,0.536,0.784,5.61,3.404,1.77
164.0,Estimates,Malta,,470.0,-18.67,-17.695,-17.049,-8.254,-6.328,-3.087,1.75,0.668,1.589,2.273,2.938,6.686,3.01
165.0,Estimates,Montenegro,,499.0,4.77,-0.86,-0.784,-20.417,-0.745,-2.608,-0.67,-9.753,-6.556,-6.998,-2.601,-1.004,-0.773
166.0,Estimates,Portugal,,620.0,-6.209,-7.514,-12.337,-15.983,2.424,4.195,-1.359,-2.984,2.987,3.411,3.437,2.412,-2.675
